id,type,name,provinceId
519,Huyện,Huyện Nông Sơn,49
522,Thành phố,Thành phố Quảng Ngãi,51
524,Huyện,Huyện Bình Sơn,51
525,Huyện,Huyện Trà Bồng,51
527,Huyện,Huyện Sơn Tịnh,51
528,Huyện,Huyện Tư Nghĩa,51
529,Huyện,Huyện Sơn Hà,51
530,Huyện,Huyện Sơn Tây,51
531,Huyện,Huyện Minh Long,51
532,Huyện,Huyện Nghĩa Hành,51
533,Huyện,Huyện Mộ Đức,51
534,Thị xã,Thị xã Đức Phổ,51
535,Huyện,Huyện Ba Tơ,51
536,Huyện,Huyện Lý Sơn,51
540,Thành phố,Thành phố Quy Nhơn,52
542,Huyện,Huyện An Lão,52
543,Thị xã,Thị xã Hoài Nhơn,52
544,Huyện,Huyện Hoài Ân,52
545,Huyện,Huyện Phù Mỹ,52
546,Huyện,Huyện Vĩnh Thạnh,52
547,Huyện,Huyện Tây Sơn,52
548,Huyện,Huyện Phù Cát,52
549,Thị xã,Thị xã An Nhơn,52
550,Huyện,Huyện Tuy Phước,52
551,Huyện,Huyện Vân Canh,52
555,Thành phố,Thành phố Tuy Hoà,54
557,Thị xã,Thị xã Sông Cầu,54
558,Huyện,Huyện Đồng Xuân,54
559,Huyện,Huyện Tuy An,54
560,Huyện,Huyện Sơn Hòa,54
561,Huyện,Huyện Sông Hinh,54
562,Huyện,Huyện Tây Hoà,54
563,Huyện,Huyện Phú Hoà,54
564,Thị xã,Thị xã Đông Hòa,54
568,Thành phố,Thành phố Nha Trang,56
569,Thành phố,Thành phố Cam Ranh,56
570,Huyện,Huyện Cam Lâm,56
571,Huyện,Huyện Vạn Ninh,56
572,Thị xã,Thị xã Ninh Hòa,56
573,Huyện,Huyện Khánh Vĩnh,56
574,Huyện,Huyện Diên Khánh,56
575,Huyện,Huyện Khánh Sơn,56
576,Huyện,Huyện Trường Sa,56
582,Thành phố,Thành phố Phan Rang-Tháp Chàm,58
584,Huyện,Huyện Bác Ái,58
585,Huyện,Huyện Ninh Sơn,58
586,Huyện,Huyện Ninh Hải,58
587,Huyện,Huyện Ninh Phước,58
588,Huyện,Huyện Thuận Bắc,58
589,Huyện,Huyện Thuận Nam,58
593,Thành phố,Thành phố Phan Thiết,60
594,Thị xã,Thị xã La Gi,60
595,Huyện,Huyện Tuy Phong,60
596,Huyện,Huyện Bắc Bình,60
597,Huyện,Huyện Hàm Thuận Bắc,60
598,Huyện,Huyện Hàm Thuận Nam,60
599,Huyện,Huyện Tánh Linh,60
600,Huyện,Huyện Đức Linh,60
601,Huyện,Huyện Hàm Tân,60
602,Huyện,Huyện Phú Quí,60
608,Thành phố,Thành phố Kon Tum,62
610,Huyện,Huyện Đắk Glei,62
611,Huyện,Huyện Ngọc Hồi,62
612,Huyện,Huyện Đắk Tô,62
613,Huyện,Huyện Kon Plông,62
614,Huyện,Huyện Kon Rẫy,62
615,Huyện,Huyện Đắk Hà,62
616,Huyện,Huyện Sa Thầy,62
617,Huyện,Huyện Tu Mơ Rông,62
618,Huyện,Huyện Ia H' Drai,62
622,Thành phố,Thành phố Pleiku,64
623,Thị xã,Thị xã An Khê,64
624,Thị xã,Thị xã Ayun Pa,64
625,Huyện,Huyện KBang,64
626,Huyện,Huyện Đăk Đoa,64
627,Huyện,Huyện Chư Păh,64
628,Huyện,Huyện Ia Grai,64
629,Huyện,Huyện Mang Yang,64
630,Huyện,Huyện Kông Chro,64
631,Huyện,Huyện Đức Cơ,64
632,Huyện,Huyện Chư Prông,64
633,Huyện,Huyện Chư Sê,64
634,Huyện,Huyện Đăk Pơ,64
635,Huyện,Huyện Ia Pa,64
637,Huyện,Huyện Krông Pa,64
638,Huyện,Huyện Phú Thiện,64
639,Huyện,Huyện Chư Pưh,64
643,Thành phố,Thành phố Buôn Ma Thuột,66
644,Thị xã,Thị Xã Buôn Hồ,66
645,Huyện,Huyện Ea H'leo,66
646,Huyện,Huyện Ea Súp,66
647,Huyện,Huyện Buôn Đôn,66
648,Huyện,Huyện Cư M'gar,66
649,Huyện,Huyện Krông Búk,66
650,Huyện,Huyện Krông Năng,66
651,Huyện,Huyện Ea Kar,66
652,Huyện,Huyện M'Đrắk,66
653,Huyện,Huyện Krông Bông,66
654,Huyện,Huyện Krông Pắc,66
655,Huyện,Huyện Krông A Na,66
656,Huyện,Huyện Lắk,66
657,Huyện,Huyện Cư Kuin,66
660,Thành phố,Thành phố Gia Nghĩa,67
661,Huyện,Huyện Đăk Glong,67
662,Huyện,Huyện Cư Jút,67
663,Huyện,Huyện Đắk Mil,67
664,Huyện,Huyện Krông Nô,67
665,Huyện,Huyện Đắk Song,67
666,Huyện,Huyện Đắk R'Lấp,67
667,Huyện,Huyện Tuy Đức,67
672,Thành phố,Thành phố Đà Lạt,68
673,Thành phố,Thành phố Bảo Lộc,68
674,Huyện,Huyện Đam Rông,68
675,Huyện,Huyện Lạc Dương,68
676,Huyện,Huyện Lâm Hà,68
677,Huyện,Huyện Đơn Dương,68
678,Huyện,Huyện Đức Trọng,68
679,Huyện,Huyện Di Linh,68
680,Huyện,Huyện Bảo Lâm,68
681,Huyện,Huyện Đạ Huoai,68
682,Huyện,Huyện Đạ Tẻh,68
683,Huyện,Huyện Cát Tiên,68
688,Thị xã,Thị xã Phước Long,70
689,Thành phố,Thành phố Đồng Xoài,70
690,Thị xã,Thị xã Bình Long,70
691,Huyện,Huyện Bù Gia Mập,70
692,Huyện,Huyện Lộc Ninh,70
693,Huyện,Huyện Bù Đốp,70
694,Huyện,Huyện Hớn Quản,70
695,Huyện,Huyện Đồng Phú,70
696,Huyện,Huyện Bù Đăng,70
697,Huyện,Huyện Chơn Thành,70
698,Huyện,Huyện Phú Riềng,70
703,Thành phố,Thành phố Tây Ninh,72
705,Huyện,Huyện Tân Biên,72
706,Huyện,Huyện Tân Châu,72
707,Huyện,Huyện Dương Minh Châu,72
708,Huyện,Huyện Châu Thành,72
709,Thị xã,Thị xã Hòa Thành,72
710,Huyện,Huyện Gò Dầu,72
711,Huyện,Huyện Bến Cầu,72
712,Thị xã,Thị xã Trảng Bàng,72
718,Thành phố,Thành phố Thủ Dầu Một,74
719,Huyện,Huyện Bàu Bàng,74
720,Huyện,Huyện Dầu Tiếng,74
721,Thị xã,Thị xã Bến Cát,74
722,Huyện,Huyện Phú Giáo,74
723,Thị xã,Thị xã Tân Uyên,74
724,Thành phố,Thành phố Dĩ An,74
725,Thành phố,Thành phố Thuận An,74
726,Huyện,Huyện Bắc Tân Uyên,74
731,Thành phố,Thành phố Biên Hòa,75
732,Thành phố,Thành phố Long Khánh,75
734,Huyện,Huyện Tân Phú,75
735,Huyện,Huyện Vĩnh Cửu,75
736,Huyện,Huyện Định Quán,75
737,Huyện,Huyện Trảng Bom,75
738,Huyện,Huyện Thống Nhất,75
739,Huyện,Huyện Cẩm Mỹ,75
740,Huyện,Huyện Long Thành,75
741,Huyện,Huyện Xuân Lộc,75
742,Huyện,Huyện Nhơn Trạch,75
747,Thành phố,Thành phố Vũng Tàu,77
748,Thành phố,Thành phố Bà Rịa,77
750,Huyện,Huyện Châu Đức,77
751,Huyện,Huyện Xuyên Mộc,77
752,Huyện,Huyện Long Điền,77
753,Huyện,Huyện Đất Đỏ,77
754,Thị xã,Thị xã Phú Mỹ,77
755,Huyện,Huyện Côn Đảo,77
760,Quận,Quận 1,79
761,Quận,Quận 12,79
764,Quận,Quận Gò Vấp,79
765,Quận,Quận Bình Thạnh,79
766,Quận,Quận Tân Bình,79
767,Quận,Quận Tân Phú,79
768,Quận,Quận Phú Nhuận,79
769,Thành phố,Thành phố Thủ Đức,79
770,Quận,Quận 3,79
771,Quận,Quận 10,79
772,Quận,Quận 11,79
773,Quận,Quận 4,79
774,Quận,Quận 5,79
775,Quận,Quận 6,79
776,Quận,Quận 8,79
777,Quận,Quận Bình Tân,79
778,Quận,Quận 7,79
783,Huyện,Huyện Củ Chi,79
784,Huyện,Huyện Hóc Môn,79
785,Huyện,Huyện Bình Chánh,79
786,Huyện,Huyện Nhà Bè,79
787,Huyện,Huyện Cần Giờ,79
794,Thành phố,Thành phố Tân An,80
795,Thị xã,Thị xã Kiến Tường,80
796,Huyện,Huyện Tân Hưng,80
797,Huyện,Huyện Vĩnh Hưng,80
798,Huyện,Huyện Mộc Hóa,80
799,Huyện,Huyện Tân Thạnh,80
800,Huyện,Huyện Thạnh Hóa,80
801,Huyện,Huyện Đức Huệ,80
802,Huyện,Huyện Đức Hòa,80
803,Huyện,Huyện Bến Lức,80
804,Huyện,Huyện Thủ Thừa,80
805,Huyện,Huyện Tân Trụ,80
806,Huyện,Huyện Cần Đước,80
807,Huyện,Huyện Cần Giuộc,80
808,Huyện,Huyện Châu Thành,80
815,Thành phố,Thành phố Mỹ Tho,82
816,Thị xã,Thị xã Gò Công,82
817,Thị xã,Thị xã Cai Lậy,82
818,Huyện,Huyện Tân Phước,82
819,Huyện,Huyện Cái Bè,82
820,Huyện,Huyện Cai Lậy,82
821,Huyện,Huyện Châu Thành,82
822,Huyện,Huyện Chợ Gạo,82
823,Huyện,Huyện Gò Công Tây,82
824,Huyện,Huyện Gò Công Đông,82
825,Huyện,Huyện Tân Phú Đông,82
